name,kind,breadth_drop_threshold,breadth_panic_ratio,breadth_risk_recovery_days,breadth_risk_switch_hurdle_pct,breadth_normal_to_risk_min_days,breadth_effective_lag_days,y2019_excess,y2019_total,y2019_dd,y2019_trades,y2019_risk_days,y2020_excess,y2020_total,y2020_dd,y2020_trades,y2020_risk_days,y2021_excess,y2021_total,y2021_dd,y2021_trades,y2021_risk_days,y2022_excess,y2022_total,y2022_dd,y2022_trades,y2022_risk_days,y2023_excess,y2023_total,y2023_dd,y2023_trades,y2023_risk_days,y2024_excess,y2024_total,y2024_dd,y2024_trades,y2024_risk_days,main_floor_pass_count,passes_main_floors,params_json,_candidate_idx,leave_year,selection_avg_excess,selection_avg_abs_dd,selection_score,replay_2019_excess,replay_2019_total,replay_2019_trades,rank,selected_for_leave,holdout_baseline_excess,holdout_improved_or_equal,replay_2020_excess,replay_2020_total,replay_2020_trades,replay_2021_excess,replay_2021_total,replay_2021_trades,replay_2022_excess,replay_2022_total,replay_2022_trades,replay_2023_excess,replay_2023_total,replay_2023_trades,replay_2024_excess,replay_2024_total,replay_2024_trades
breadth_dropm0p03_ratio0p4_rec2_h0p1_min2,candidate,-0.03,0.4,2,0.1,2,1,0.152012,0.359378,-0.107737,152,0,-0.178799,-0.074633,-0.160351,98,0,-0.033534,0.088164,-0.088886,154,0,0.033224,-0.128797,-0.156751,202,0,-0.029066,-0.056686,-0.141317,168,0,0.016739,0.012381,-0.164269,264,0,2,0,"{""breadth_drop_threshold"": -0.03, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 2, ""breadth_panic_ratio"": 0.4, ""breadth_risk_recovery_days"": 2, ""breadth_risk_switch_hurdle_pct"": 0.1, ""name"": ""breadth_dropm0p03_ratio0p4_rec2_h0p1_min2""}",47,2019,-0.038287,0.142315,-0.489196,0.152012,0.359378,152,34,0,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p03_ratio0p4_rec3_h0p05_min2,candidate,-0.03,0.4,3,0.05,2,1,0.152012,0.359378,-0.107737,152,0,-0.178799,-0.074633,-0.160351,98,0,-0.033534,0.088164,-0.088886,154,0,0.033224,-0.128797,-0.156751,202,0,-0.029066,-0.056686,-0.141317,168,0,0.016739,0.012381,-0.164269,264,0,2,0,"{""breadth_drop_threshold"": -0.03, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 2, ""breadth_panic_ratio"": 0.4, ""breadth_risk_recovery_days"": 3, ""breadth_risk_switch_hurdle_pct"": 0.05, ""name"": ""breadth_dropm0p03_ratio0p4_rec3_h0p05_min2""}",49,2019,-0.038287,0.142315,-0.489196,0.152012,0.359378,152,35,0,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p03_ratio0p4_rec3_h0p08_min2,candidate,-0.03,0.4,3,0.08,2,1,0.152012,0.359378,-0.107737,152,0,-0.178799,-0.074633,-0.160351,98,0,-0.033534,0.088164,-0.088886,154,0,0.033224,-0.128797,-0.156751,202,0,-0.029066,-0.056686,-0.141317,168,0,0.016739,0.012381,-0.164269,264,0,2,0,"{""breadth_drop_threshold"": -0.03, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 2, ""breadth_panic_ratio"": 0.4, ""breadth_risk_recovery_days"": 3, ""breadth_risk_switch_hurdle_pct"": 0.08, ""name"": ""breadth_dropm0p03_ratio0p4_rec3_h0p08_min2""}",51,2019,-0.038287,0.142315,-0.489196,0.152012,0.359378,152,36,0,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p03_ratio0p4_rec3_h0p1_min2,candidate,-0.03,0.4,3,0.1,2,1,0.152012,0.359378,-0.107737,152,0,-0.178799,-0.074633,-0.160351,98,0,-0.033534,0.088164,-0.088886,154,0,0.033224,-0.128797,-0.156751,202,0,-0.029066,-0.056686,-0.141317,168,0,0.016739,0.012381,-0.164269,264,0,2,0,"{""breadth_drop_threshold"": -0.03, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 2, ""breadth_panic_ratio"": 0.4, ""breadth_risk_recovery_days"": 3, ""breadth_risk_switch_hurdle_pct"": 0.1, ""name"": ""breadth_dropm0p03_ratio0p4_rec3_h0p1_min2""}",53,2019,-0.038287,0.142315,-0.489196,0.152012,0.359378,152,37,0,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p05_ratio0p2_rec1_h0p05_min1,candidate,-0.05,0.2,1,0.05,1,1,0.152012,0.359378,-0.107737,152,0,-0.178799,-0.074633,-0.160351,98,3,-0.033534,0.088164,-0.088886,154,0,0.033224,-0.128797,-0.156751,202,0,-0.029066,-0.056686,-0.141317,168,0,0.016739,0.012381,-0.164269,264,1,2,0,"{""breadth_drop_threshold"": -0.05, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 1, ""breadth_panic_ratio"": 0.2, ""breadth_risk_recovery_days"": 1, ""breadth_risk_switch_hurdle_pct"": 0.05, ""name"": ""breadth_dropm0p05_ratio0p2_rec1_h0p05_min1""}",54,2019,-0.038287,0.142315,-0.489196,0.152012,0.359378,152,38,0,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p05_ratio0p2_rec1_h0p05_min2,candidate,-0.05,0.2,1,0.05,2,1,0.152012,0.359378,-0.107737,152,0,-0.178799,-0.074633,-0.160351,98,0,-0.033534,0.088164,-0.088886,154,0,0.033224,-0.128797,-0.156751,202,0,-0.029066,-0.056686,-0.141317,168,0,0.016739,0.012381,-0.164269,264,0,2,0,"{""breadth_drop_threshold"": -0.05, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 2, ""breadth_panic_ratio"": 0.2, ""breadth_risk_recovery_days"": 1, ""breadth_risk_switch_hurdle_pct"": 0.05, ""name"": ""breadth_dropm0p05_ratio0p2_rec1_h0p05_min2""}",55,2019,-0.038287,0.142315,-0.489196,0.152012,0.359378,152,39,0,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p05_ratio0p2_rec1_h0p08_min1,candidate,-0.05,0.2,1,0.08,1,1,0.152012,0.359378,-0.107737,152,0,-0.178799,-0.074633,-0.160351,98,3,-0.033534,0.088164,-0.088886,154,0,0.033224,-0.128797,-0.156751,202,0,-0.029066,-0.056686,-0.141317,168,0,0.016739,0.012381,-0.164269,264,1,2,0,"{""breadth_drop_threshold"": -0.05, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 1, ""breadth_panic_ratio"": 0.2, ""breadth_risk_recovery_days"": 1, ""breadth_risk_switch_hurdle_pct"": 0.08, ""name"": ""breadth_dropm0p05_ratio0p2_rec1_h0p08_min1""}",56,2019,-0.038287,0.142315,-0.489196,0.152012,0.359378,152,40,0,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p05_ratio0p2_rec1_h0p08_min2,candidate,-0.05,0.2,1,0.08,2,1,0.152012,0.359378,-0.107737,152,0,-0.178799,-0.074633,-0.160351,98,0,-0.033534,0.088164,-0.088886,154,0,0.033224,-0.128797,-0.156751,202,0,-0.029066,-0.056686,-0.141317,168,0,0.016739,0.012381,-0.164269,264,0,2,0,"{""breadth_drop_threshold"": -0.05, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 2, ""breadth_panic_ratio"": 0.2, ""breadth_risk_recovery_days"": 1, ""breadth_risk_switch_hurdle_pct"": 0.08, ""name"": ""breadth_dropm0p05_ratio0p2_rec1_h0p08_min2""}",57,2019,-0.038287,0.142315,-0.489196,0.152012,0.359378,152,41,0,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p05_ratio0p2_rec1_h0p1_min1,candidate,-0.05,0.2,1,0.1,1,1,0.152012,0.359378,-0.107737,152,0,-0.178799,-0.074633,-0.160351,98,3,-0.033534,0.088164,-0.088886,154,0,0.033224,-0.128797,-0.156751,202,0,-0.029066,-0.056686,-0.141317,168,0,0.016739,0.012381,-0.164269,264,1,2,0,"{""breadth_drop_threshold"": -0.05, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 1, ""breadth_panic_ratio"": 0.2, ""breadth_risk_recovery_days"": 1, ""breadth_risk_switch_hurdle_pct"": 0.1, ""name"": ""breadth_dropm0p05_ratio0p2_rec1_h0p1_min1""}",58,2019,-0.038287,0.142315,-0.489196,0.152012,0.359378,152,42,0,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p05_ratio0p2_rec1_h0p1_min2,candidate,-0.05,0.2,1,0.1,2,1,0.152012,0.359378,-0.107737,152,0,-0.178799,-0.074633,-0.160351,98,0,-0.033534,0.088164,-0.088886,154,0,0.033224,-0.128797,-0.156751,202,0,-0.029066,-0.056686,-0.141317,168,0,0.016739,0.012381,-0.164269,264,0,2,0,"{""breadth_drop_threshold"": -0.05, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 2, ""breadth_panic_ratio"": 0.2, ""breadth_risk_recovery_days"": 1, ""breadth_risk_switch_hurdle_pct"": 0.1, ""name"": ""breadth_dropm0p05_ratio0p2_rec1_h0p1_min2""}",59,2019,-0.038287,0.142315,-0.489196,0.152012,0.359378,152,43,0,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p05_ratio0p2_rec2_h0p05_min1,candidate,-0.05,0.2,2,0.05,1,1,0.152012,0.359378,-0.107737,152,0,-0.178799,-0.074633,-0.160351,98,3,-0.033534,0.088164,-0.088886,154,0,0.033224,-0.128797,-0.156751,202,0,-0.029066,-0.056686,-0.141317,168,0,0.016739,0.012381,-0.164269,264,1,2,0,"{""breadth_drop_threshold"": -0.05, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 1, ""breadth_panic_ratio"": 0.2, ""breadth_risk_recovery_days"": 2, ""breadth_risk_switch_hurdle_pct"": 0.05, ""name"": ""breadth_dropm0p05_ratio0p2_rec2_h0p05_min1""}",60,2019,-0.038287,0.142315,-0.489196,0.152012,0.359378,152,44,0,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p05_ratio0p2_rec2_h0p05_min2,candidate,-0.05,0.2,2,0.05,2,1,0.152012,0.359378,-0.107737,152,0,-0.178799,-0.074633,-0.160351,98,0,-0.033534,0.088164,-0.088886,154,0,0.033224,-0.128797,-0.156751,202,0,-0.029066,-0.056686,-0.141317,168,0,0.016739,0.012381,-0.164269,264,0,2,0,"{""breadth_drop_threshold"": -0.05, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 2, ""breadth_panic_ratio"": 0.2, ""breadth_risk_recovery_days"": 2, ""breadth_risk_switch_hurdle_pct"": 0.05, ""name"": ""breadth_dropm0p05_ratio0p2_rec2_h0p05_min2""}",61,2019,-0.038287,0.142315,-0.489196,0.152012,0.359378,152,45,0,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p05_ratio0p2_rec2_h0p08_min2,candidate,-0.05,0.2,2,0.08,2,1,0.152012,0.359378,-0.107737,152,0,-0.178799,-0.074633,-0.160351,98,0,-0.033534,0.088164,-0.088886,154,0,0.033224,-0.128797,-0.156751,202,0,-0.029066,-0.056686,-0.141317,168,0,0.016739,0.012381,-0.164269,264,0,2,0,"{""breadth_drop_threshold"": -0.05, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 2, ""breadth_panic_ratio"": 0.2, ""breadth_risk_recovery_days"": 2, ""breadth_risk_switch_hurdle_pct"": 0.08, ""name"": ""breadth_dropm0p05_ratio0p2_rec2_h0p08_min2""}",63,2019,-0.038287,0.142315,-0.489196,0.152012,0.359378,152,46,0,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p05_ratio0p2_rec2_h0p1_min2,candidate,-0.05,0.2,2,0.1,2,1,0.152012,0.359378,-0.107737,152,0,-0.178799,-0.074633,-0.160351,98,0,-0.033534,0.088164,-0.088886,154,0,0.033224,-0.128797,-0.156751,202,0,-0.029066,-0.056686,-0.141317,168,0,0.016739,0.012381,-0.164269,264,0,2,0,"{""breadth_drop_threshold"": -0.05, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 2, ""breadth_panic_ratio"": 0.2, ""breadth_risk_recovery_days"": 2, ""breadth_risk_switch_hurdle_pct"": 0.1, ""name"": ""breadth_dropm0p05_ratio0p2_rec2_h0p1_min2""}",65,2019,-0.038287,0.142315,-0.489196,0.152012,0.359378,152,47,0,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p05_ratio0p2_rec3_h0p05_min2,candidate,-0.05,0.2,3,0.05,2,1,0.152012,0.359378,-0.107737,152,0,-0.178799,-0.074633,-0.160351,98,0,-0.033534,0.088164,-0.088886,154,0,0.033224,-0.128797,-0.156751,202,0,-0.029066,-0.056686,-0.141317,168,0,0.016739,0.012381,-0.164269,264,0,2,0,"{""breadth_drop_threshold"": -0.05, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 2, ""breadth_panic_ratio"": 0.2, ""breadth_risk_recovery_days"": 3, ""breadth_risk_switch_hurdle_pct"": 0.05, ""name"": ""breadth_dropm0p05_ratio0p2_rec3_h0p05_min2""}",67,2019,-0.038287,0.142315,-0.489196,0.152012,0.359378,152,48,0,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p05_ratio0p2_rec3_h0p08_min2,candidate,-0.05,0.2,3,0.08,2,1,0.152012,0.359378,-0.107737,152,0,-0.178799,-0.074633,-0.160351,98,0,-0.033534,0.088164,-0.088886,154,0,0.033224,-0.128797,-0.156751,202,0,-0.029066,-0.056686,-0.141317,168,0,0.016739,0.012381,-0.164269,264,0,2,0,"{""breadth_drop_threshold"": -0.05, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 2, ""breadth_panic_ratio"": 0.2, ""breadth_risk_recovery_days"": 3, ""breadth_risk_switch_hurdle_pct"": 0.08, ""name"": ""breadth_dropm0p05_ratio0p2_rec3_h0p08_min2""}",69,2019,-0.038287,0.142315,-0.489196,0.152012,0.359378,152,49,0,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p05_ratio0p2_rec3_h0p1_min2,candidate,-0.05,0.2,3,0.1,2,1,0.152012,0.359378,-0.107737,152,0,-0.178799,-0.074633,-0.160351,98,0,-0.033534,0.088164,-0.088886,154,0,0.033224,-0.128797,-0.156751,202,0,-0.029066,-0.056686,-0.141317,168,0,0.016739,0.012381,-0.164269,264,0,2,0,"{""breadth_drop_threshold"": -0.05, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 2, ""breadth_panic_ratio"": 0.2, ""breadth_risk_recovery_days"": 3, ""breadth_risk_switch_hurdle_pct"": 0.1, ""name"": ""breadth_dropm0p05_ratio0p2_rec3_h0p1_min2""}",71,2019,-0.038287,0.142315,-0.489196,0.152012,0.359378,152,50,0,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p05_ratio0p3_rec1_h0p05_min1,candidate,-0.05,0.3,1,0.05,1,1,0.152012,0.359378,-0.107737,152,0,-0.178799,-0.074633,-0.160351,98,1,-0.033534,0.088164,-0.088886,154,0,0.033224,-0.128797,-0.156751,202,0,-0.029066,-0.056686,-0.141317,168,0,0.016739,0.012381,-0.164269,264,1,2,0,"{""breadth_drop_threshold"": -0.05, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 1, ""breadth_panic_ratio"": 0.3, ""breadth_risk_recovery_days"": 1, ""breadth_risk_switch_hurdle_pct"": 0.05, ""name"": ""breadth_dropm0p05_ratio0p3_rec1_h0p05_min1""}",72,2019,-0.038287,0.142315,-0.489196,0.152012,0.359378,152,51,0,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p05_ratio0p3_rec1_h0p05_min2,candidate,-0.05,0.3,1,0.05,2,1,0.152012,0.359378,-0.107737,152,0,-0.178799,-0.074633,-0.160351,98,0,-0.033534,0.088164,-0.088886,154,0,0.033224,-0.128797,-0.156751,202,0,-0.029066,-0.056686,-0.141317,168,0,0.016739,0.012381,-0.164269,264,0,2,0,"{""breadth_drop_threshold"": -0.05, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 2, ""breadth_panic_ratio"": 0.3, ""breadth_risk_recovery_days"": 1, ""breadth_risk_switch_hurdle_pct"": 0.05, ""name"": ""breadth_dropm0p05_ratio0p3_rec1_h0p05_min2""}",73,2019,-0.038287,0.142315,-0.489196,0.152012,0.359378,152,52,0,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p05_ratio0p3_rec1_h0p08_min1,candidate,-0.05,0.3,1,0.08,1,1,0.152012,0.359378,-0.107737,152,0,-0.178799,-0.074633,-0.160351,98,1,-0.033534,0.088164,-0.088886,154,0,0.033224,-0.128797,-0.156751,202,0,-0.029066,-0.056686,-0.141317,168,0,0.016739,0.012381,-0.164269,264,1,2,0,"{""breadth_drop_threshold"": -0.05, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 1, ""breadth_panic_ratio"": 0.3, ""breadth_risk_recovery_days"": 1, ""breadth_risk_switch_hurdle_pct"": 0.08, ""name"": ""breadth_dropm0p05_ratio0p3_rec1_h0p08_min1""}",74,2019,-0.038287,0.142315,-0.489196,0.152012,0.359378,152,53,0,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p05_ratio0p3_rec1_h0p08_min2,candidate,-0.05,0.3,1,0.08,2,1,0.152012,0.359378,-0.107737,152,0,-0.178799,-0.074633,-0.160351,98,0,-0.033534,0.088164,-0.088886,154,0,0.033224,-0.128797,-0.156751,202,0,-0.029066,-0.056686,-0.141317,168,0,0.016739,0.012381,-0.164269,264,0,2,0,"{""breadth_drop_threshold"": -0.05, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 2, ""breadth_panic_ratio"": 0.3, ""breadth_risk_recovery_days"": 1, ""breadth_risk_switch_hurdle_pct"": 0.08, ""name"": ""breadth_dropm0p05_ratio0p3_rec1_h0p08_min2""}",75,2019,-0.038287,0.142315,-0.489196,0.152012,0.359378,152,54,0,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p05_ratio0p3_rec1_h0p1_min1,candidate,-0.05,0.3,1,0.1,1,1,0.152012,0.359378,-0.107737,152,0,-0.178799,-0.074633,-0.160351,98,1,-0.033534,0.088164,-0.088886,154,0,0.033224,-0.128797,-0.156751,202,0,-0.029066,-0.056686,-0.141317,168,0,0.016739,0.012381,-0.164269,264,1,2,0,"{""breadth_drop_threshold"": -0.05, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 1, ""breadth_panic_ratio"": 0.3, ""breadth_risk_recovery_days"": 1, ""breadth_risk_switch_hurdle_pct"": 0.1, ""name"": ""breadth_dropm0p05_ratio0p3_rec1_h0p1_min1""}",76,2019,-0.038287,0.142315,-0.489196,0.152012,0.359378,152,55,0,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p05_ratio0p3_rec1_h0p1_min2,candidate,-0.05,0.3,1,0.1,2,1,0.152012,0.359378,-0.107737,152,0,-0.178799,-0.074633,-0.160351,98,0,-0.033534,0.088164,-0.088886,154,0,0.033224,-0.128797,-0.156751,202,0,-0.029066,-0.056686,-0.141317,168,0,0.016739,0.012381,-0.164269,264,0,2,0,"{""breadth_drop_threshold"": -0.05, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 2, ""breadth_panic_ratio"": 0.3, ""breadth_risk_recovery_days"": 1, ""breadth_risk_switch_hurdle_pct"": 0.1, ""name"": ""breadth_dropm0p05_ratio0p3_rec1_h0p1_min2""}",77,2019,-0.038287,0.142315,-0.489196,0.152012,0.359378,152,56,0,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p05_ratio0p3_rec2_h0p05_min1,candidate,-0.05,0.3,2,0.05,1,1,0.152012,0.359378,-0.107737,152,0,-0.178799,-0.074633,-0.160351,98,1,-0.033534,0.088164,-0.088886,154,0,0.033224,-0.128797,-0.156751,202,0,-0.029066,-0.056686,-0.141317,168,0,0.016739,0.012381,-0.164269,264,1,2,0,"{""breadth_drop_threshold"": -0.05, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 1, ""breadth_panic_ratio"": 0.3, ""breadth_risk_recovery_days"": 2, ""breadth_risk_switch_hurdle_pct"": 0.05, ""name"": ""breadth_dropm0p05_ratio0p3_rec2_h0p05_min1""}",78,2019,-0.038287,0.142315,-0.489196,0.152012,0.359378,152,57,0,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p05_ratio0p3_rec2_h0p05_min2,candidate,-0.05,0.3,2,0.05,2,1,0.152012,0.359378,-0.107737,152,0,-0.178799,-0.074633,-0.160351,98,0,-0.033534,0.088164,-0.088886,154,0,0.033224,-0.128797,-0.156751,202,0,-0.029066,-0.056686,-0.141317,168,0,0.016739,0.012381,-0.164269,264,0,2,0,"{""breadth_drop_threshold"": -0.05, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 2, ""breadth_panic_ratio"": 0.3, ""breadth_risk_recovery_days"": 2, ""breadth_risk_switch_hurdle_pct"": 0.05, ""name"": ""breadth_dropm0p05_ratio0p3_rec2_h0p05_min2""}",79,2019,-0.038287,0.142315,-0.489196,0.152012,0.359378,152,58,0,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p05_ratio0p3_rec2_h0p08_min2,candidate,-0.05,0.3,2,0.08,2,1,0.152012,0.359378,-0.107737,152,0,-0.178799,-0.074633,-0.160351,98,0,-0.033534,0.088164,-0.088886,154,0,0.033224,-0.128797,-0.156751,202,0,-0.029066,-0.056686,-0.141317,168,0,0.016739,0.012381,-0.164269,264,0,2,0,"{""breadth_drop_threshold"": -0.05, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 2, ""breadth_panic_ratio"": 0.3, ""breadth_risk_recovery_days"": 2, ""breadth_risk_switch_hurdle_pct"": 0.08, ""name"": ""breadth_dropm0p05_ratio0p3_rec2_h0p08_min2""}",81,2019,-0.038287,0.142315,-0.489196,0.152012,0.359378,152,59,0,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p05_ratio0p3_rec2_h0p1_min2,candidate,-0.05,0.3,2,0.1,2,1,0.152012,0.359378,-0.107737,152,0,-0.178799,-0.074633,-0.160351,98,0,-0.033534,0.088164,-0.088886,154,0,0.033224,-0.128797,-0.156751,202,0,-0.029066,-0.056686,-0.141317,168,0,0.016739,0.012381,-0.164269,264,0,2,0,"{""breadth_drop_threshold"": -0.05, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 2, ""breadth_panic_ratio"": 0.3, ""breadth_risk_recovery_days"": 2, ""breadth_risk_switch_hurdle_pct"": 0.1, ""name"": ""breadth_dropm0p05_ratio0p3_rec2_h0p1_min2""}",83,2019,-0.038287,0.142315,-0.489196,0.152012,0.359378,152,60,0,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p05_ratio0p3_rec3_h0p05_min2,candidate,-0.05,0.3,3,0.05,2,1,0.152012,0.359378,-0.107737,152,0,-0.178799,-0.074633,-0.160351,98,0,-0.033534,0.088164,-0.088886,154,0,0.033224,-0.128797,-0.156751,202,0,-0.029066,-0.056686,-0.141317,168,0,0.016739,0.012381,-0.164269,264,0,2,0,"{""breadth_drop_threshold"": -0.05, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 2, ""breadth_panic_ratio"": 0.3, ""breadth_risk_recovery_days"": 3, ""breadth_risk_switch_hurdle_pct"": 0.05, ""name"": ""breadth_dropm0p05_ratio0p3_rec3_h0p05_min2""}",85,2019,-0.038287,0.142315,-0.489196,0.152012,0.359378,152,61,0,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p05_ratio0p3_rec3_h0p08_min2,candidate,-0.05,0.3,3,0.08,2,1,0.152012,0.359378,-0.107737,152,0,-0.178799,-0.074633,-0.160351,98,0,-0.033534,0.088164,-0.088886,154,0,0.033224,-0.128797,-0.156751,202,0,-0.029066,-0.056686,-0.141317,168,0,0.016739,0.012381,-0.164269,264,0,2,0,"{""breadth_drop_threshold"": -0.05, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 2, ""breadth_panic_ratio"": 0.3, ""breadth_risk_recovery_days"": 3, ""breadth_risk_switch_hurdle_pct"": 0.08, ""name"": ""breadth_dropm0p05_ratio0p3_rec3_h0p08_min2""}",87,2019,-0.038287,0.142315,-0.489196,0.152012,0.359378,152,62,0,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p05_ratio0p3_rec3_h0p1_min2,candidate,-0.05,0.3,3,0.1,2,1,0.152012,0.359378,-0.107737,152,0,-0.178799,-0.074633,-0.160351,98,0,-0.033534,0.088164,-0.088886,154,0,0.033224,-0.128797,-0.156751,202,0,-0.029066,-0.056686,-0.141317,168,0,0.016739,0.012381,-0.164269,264,0,2,0,"{""breadth_drop_threshold"": -0.05, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 2, ""breadth_panic_ratio"": 0.3, ""breadth_risk_recovery_days"": 3, ""breadth_risk_switch_hurdle_pct"": 0.1, ""name"": ""breadth_dropm0p05_ratio0p3_rec3_h0p1_min2""}",89,2019,-0.038287,0.142315,-0.489196,0.152012,0.359378,152,63,0,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p05_ratio0p4_rec1_h0p05_min1,candidate,-0.05,0.4,1,0.05,1,1,0.152012,0.359378,-0.107737,152,0,-0.178799,-0.074633,-0.160351,98,1,-0.033534,0.088164,-0.088886,154,0,0.033224,-0.128797,-0.156751,202,0,-0.029066,-0.056686,-0.141317,168,0,0.016739,0.012381,-0.164269,264,0,2,0,"{""breadth_drop_threshold"": -0.05, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 1, ""breadth_panic_ratio"": 0.4, ""breadth_risk_recovery_days"": 1, ""breadth_risk_switch_hurdle_pct"": 0.05, ""name"": ""breadth_dropm0p05_ratio0p4_rec1_h0p05_min1""}",90,2019,-0.038287,0.142315,-0.489196,0.152012,0.359378,152,64,0,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p05_ratio0p4_rec1_h0p05_min2,candidate,-0.05,0.4,1,0.05,2,1,0.152012,0.359378,-0.107737,152,0,-0.178799,-0.074633,-0.160351,98,0,-0.033534,0.088164,-0.088886,154,0,0.033224,-0.128797,-0.156751,202,0,-0.029066,-0.056686,-0.141317,168,0,0.016739,0.012381,-0.164269,264,0,2,0,"{""breadth_drop_threshold"": -0.05, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 2, ""breadth_panic_ratio"": 0.4, ""breadth_risk_recovery_days"": 1, ""breadth_risk_switch_hurdle_pct"": 0.05, ""name"": ""breadth_dropm0p05_ratio0p4_rec1_h0p05_min2""}",91,2019,-0.038287,0.142315,-0.489196,0.152012,0.359378,152,65,0,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p05_ratio0p4_rec1_h0p08_min1,candidate,-0.05,0.4,1,0.08,1,1,0.152012,0.359378,-0.107737,152,0,-0.178799,-0.074633,-0.160351,98,1,-0.033534,0.088164,-0.088886,154,0,0.033224,-0.128797,-0.156751,202,0,-0.029066,-0.056686,-0.141317,168,0,0.016739,0.012381,-0.164269,264,0,2,0,"{""breadth_drop_threshold"": -0.05, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 1, ""breadth_panic_ratio"": 0.4, ""breadth_risk_recovery_days"": 1, ""breadth_risk_switch_hurdle_pct"": 0.08, ""name"": ""breadth_dropm0p05_ratio0p4_rec1_h0p08_min1""}",92,2019,-0.038287,0.142315,-0.489196,0.152012,0.359378,152,66,0,0.161312,0,,,,,,,,,,,,,,,
